timestamp,tasks,algorithm,makespan,utilization,throughput
2026-04-26T15:32:23,100,FCFS,1555.0,0.43311558231164066,0.06430868167202572
2026-04-26T15:33:45,200,FCFS,2291.0,0.5663818214364392,0.08729812309035356
2026-04-26T15:33:45,200,SJF,1933.5,0.6686732942976756,0.10343935867597621
2026-04-26T15:33:45,200,EFT,1204.9999999999998,0.9726906975752664,0.16597510373443985
2026-04-26T15:36:56,200,SJF,1933.5,0.6686732942976756,0.10343935867597621
2026-05-03T17:15:55,150,FCFS,2353.75,0.5492046323736675,0.06372809346787042
2026-05-03T17:18:30,100,FCFS,1565.5,0.5375938107874032,0.06387735547748323
2026-05-03T17:18:30,100,SJF,1082.5,0.7364183998025282,0.09237875288683603
2026-05-03T17:18:30,100,EFT,866.3636363636363,0.8389904719260068,0.11542497376705144
2026-05-04T13:17:42,1000,FCFS,14143.0,0.5255943978591513,0.07070635650144948
2026-05-04T13:34:58,1000,FCFS,14143.0,0.5255943978591513,0.07070635650144948
2026-05-04T13:46:32,3,FCFS,0.21428571428571427,0.22444444444444442,14.0
2026-05-04T13:47:51,3,FCFS,0.21428571428571427,0.22444444444444442,14.0
2026-05-04T13:51:08,1000,FCFS,14143.0,0.5255943978591513,0.07070635650144948
2026-05-04T13:58:40,3,FCFS,0.21428571428571427,0.22444444444444442,14.0
2026-05-04T14:00:11,3,FCFS,0.21428571428571427,0.22444444444444442,14.0
2026-05-04T14:01:37,3,FCFS,0.21428571428571427,0.22444444444444442,14.0
2026-05-04T14:02:36,1000,FCFS,14143.0,0.5255943978591513,0.07070635650144948
2026-05-04T14:04:14,150,SJF,1741.0,0.6970982164203212,0.0861573808156232
2026-05-04T14:50:09,150,FCFS,2353.75,0.5492046323736675,0.06372809346787042
2026-05-04T14:50:09,150,SJF,1741.0,0.6970982164203212,0.0861573808156232
2026-05-04T14:51:29,500,FCFS,6428.0,0.5740848481492794,0.0777846919726198
2026-05-04T14:51:29,500,SJF,6040.0,0.6068798280018236,0.08278145695364239
2026-05-04T14:51:29,500,EFT,3318.333333333333,0.9873670821203252,0.15067805123053743
2026-05-04T19:57:50,700,FCFS,9695.5,0.5196175376078846,0.072198442576453
2026-05-04T19:57:50,700,SJF,8453.0,0.5881395176719245,0.08281083638944753
2026-05-04T19:57:50,700,EFT,4487.068965517243,0.9818050424652727,0.1560038424591738
2026-05-04T20:02:30,700,FCFS,9695.5,0.5196175376078846,0.072198442576453
2026-05-04T20:02:30,700,SJF,8453.0,0.5881395176719245,0.08281083638944753
2026-05-04T20:02:30,700,EFT,4487.068965517243,0.9818050424652727,0.1560038424591738
2026-05-04T20:05:54,700,FCFS,9695.5,0.5196175376078846,0.072198442576453
2026-05-04T20:05:54,700,SJF,8453.0,0.5881395176719245,0.08281083638944753
2026-05-04T20:05:54,700,EFT,4487.068965517243,0.9818050424652727,0.1560038424591738
2026-05-04T22:38:30,700,FCFS,11002.0,0.45920803082565015,0.06362479549172878
2026-05-04T22:38:30,700,SJF,8233.5,0.6033682793073439,0.08501852189226938
2026-05-04T22:38:30,700,EFT,4520.909090909091,0.9740676331789364,0.15483611502111402
2026-05-04T22:39:52,147,FCFS,1313.0,0.6764155481245359,0.11195734958111196
2026-05-04T22:39:52,147,SJF,1362.5,0.6839622926512835,0.10788990825688073
2026-05-04T22:39:52,147,EFT,902.8125,0.8961271452699819,0.1628245067497404
